Date,Open,High,Low,Close,Adj Close,Volume
2014-06-04,2.12,2.126,2.1,2.112,2.092606,1633985.0
2014-06-05,2.118,2.142,2.106,2.12,2.100533,3574865.0
2014-06-06,2.148,2.148,2.06,2.09,2.070808,4124065.0
2014-06-09,2.09,2.106,2.074,2.1,2.080716,2818710.0
2014-06-10,2.1,2.21,2.1,2.178,2.158,5983710.0
2014-06-11,2.162,2.372,2.142,2.258,2.237265,32821060.0
2014-06-12,2.232,2.358,2.182,2.31,2.288788,33399215.0
2014-06-13,2.282,2.376,2.258,2.276,2.2551,34485465.0
2014-06-16,2.262,2.262,2.212,2.23,2.209522,18721050.0
2014-06-17,2.23,2.244,2.19,2.2,2.179798,10613590.0
2014-06-18,2.2,2.23,2.148,2.202,2.181779,11360995.0
2014-06-19,2.196,2.198,2.08,2.09,2.070808,8472930.0
2014-06-20,2.088,2.138,2.08,2.126,2.106477,8800805.0
2014-06-23,2.124,2.184,2.108,2.162,2.142147,8029685.0
2014-06-24,2.156,2.19,2.14,2.164,2.144129,5645345.0
2014-06-25,2.144,2.16,2.118,2.136,2.116385,4445555.0
2014-06-26,2.13,2.172,2.12,2.156,2.136202,6825985.0
2014-06-27,2.156,2.23,2.146,2.184,2.163945,9231720.0
2014-06-30,2.184,2.208,2.176,2.202,2.181779,6578890.0
2014-07-01,2.218,2.234,2.186,2.206,2.185743,6786350.0
2014-07-02,2.208,2.21,2.176,2.206,2.185743,7765515.0
2014-07-03,2.218,2.266,2.212,2.23,2.209522,9403020.0
2014-07-04,2.22,2.258,2.212,2.248,2.227357,11111340.0
2014-07-07,2.25,2.276,2.226,2.248,2.227357,6301885.0
2014-07-08,2.23,2.25,2.21,2.24,2.219431,5009030.0
2014-07-09,2.242,2.276,2.222,2.222,2.201596,8604200.0
2014-07-10,2.224,2.26,2.224,2.246,2.225376,5698665.0
2014-07-11,2.246,2.296,2.246,2.274,2.253118,8435015.0
2014-07-14,2.278,2.312,2.26,2.3,2.27888,8754160.0
2014-07-15,2.294,2.316,2.272,2.298,2.276898,6923505.0
2014-07-16,2.294,2.31,2.272,2.298,2.276898,7959545.0
2014-07-17,2.298,2.31,2.244,2.28,2.259063,7141015.0
2014-07-18,2.276,2.4,2.254,2.308,2.286806,13504080.0
2014-07-21,2.3,2.31,2.256,2.26,2.239247,7969630.0
2014-07-22,2.282,2.486,2.274,2.486,2.463172,46350210.0
2014-07-23,2.6,2.64,2.454,2.524,2.500823,130869065.0
2014-07-24,2.438,2.516,2.41,2.444,2.421557,59423420.0
2014-07-25,2.436,2.534,2.376,2.484,2.46119,60768915.0
2014-07-28,2.46,2.592,2.448,2.508,2.48497,74643375.0
2014-07-29,2.51,2.512,2.442,2.502,2.479025,50069255.0
2014-07-30,2.474,2.534,2.444,2.484,2.46119,39017530.0
2014-07-31,2.5,2.59,2.492,2.538,2.514694,51045630.0
2014-08-01,2.502,2.514,2.42,2.45,2.427502,36871300.0
2014-08-04,2.458,2.654,2.426,2.578,2.554327,63287555.0
2014-08-05,2.574,2.616,2.514,2.538,2.514694,45867370.0
2014-08-06,2.52,2.666,2.478,2.588,2.564235,59330470.0
2014-08-07,2.57,2.58,2.53,2.536,2.512712,30296830.0
2014-08-08,2.526,2.558,2.506,2.526,2.502804,18877470.0
2014-08-11,2.54,2.566,2.508,2.54,2.516676,24544745.0
2014-08-12,2.532,2.554,2.502,2.532,2.508749,25624825.0
2014-08-13,2.526,2.558,2.49,2.516,2.492896,26120690.0
2014-08-14,2.5,2.512,2.432,2.44,2.417594,33043285.0
2014-08-15,2.442,2.468,2.426,2.458,2.435429,16668620.0
2014-08-18,2.478,2.51,2.46,2.498,2.475061,20735570.0
2014-08-19,2.506,2.506,2.47,2.494,2.471098,16592560.0
2014-08-20,2.492,2.51,2.48,2.504,2.481006,17823630.0
2014-08-21,2.526,2.584,2.506,2.532,2.508749,39085795.0
2014-08-22,2.512,2.53,2.486,2.52,2.49686,19612910.0
2014-08-25,2.504,2.518,2.46,2.472,2.4493,18443320.0
2014-08-26,2.454,2.472,2.376,2.4,2.377961,20116765.0
2014-08-27,2.404,2.432,2.376,2.418,2.395796,10900760.0
2014-08-28,2.42,2.444,2.366,2.38,2.358145,14628825.0
2014-08-29,2.368,2.424,2.368,2.414,2.391833,10444855.0
2014-09-01,2.42,2.466,2.41,2.458,2.435429,12900470.0
2014-09-02,2.458,2.516,2.446,2.508,2.48497,21962605.0
2014-09-03,2.512,2.536,2.496,2.516,2.492896,23493205.0
2014-09-04,2.512,2.53,2.5,2.53,2.506768,16031735.0
2014-09-05,2.538,2.578,2.52,2.55,2.526584,26858525.0
2014-09-09,2.55,2.586,2.536,2.57,2.5464,23662155.0
2014-09-10,2.536,2.64,2.51,2.602,2.578106,30800635.0
2014-09-11,2.58,2.682,2.566,2.624,2.599905,39537840.0
2014-09-12,2.624,2.886,2.604,2.794,2.768343,76815990.0
2014-09-15,2.774,2.932,2.744,2.898,2.871388,44895140.0
2014-09-16,2.872,2.952,2.76,2.766,2.740601,39759375.0
2014-09-17,2.762,2.788,2.676,2.76,2.734656,26470180.0
2014-09-18,2.75,2.858,2.728,2.832,2.805995,23335195.0
2014-09-19,2.806,2.85,2.78,2.828,2.802031,18279765.0
2014-09-22,2.802,3.038,2.8,2.984,2.956599,46235850.0
2014-09-23,2.97,3.26,2.932,3.154,3.125038,34047985.0
2014-09-24,3.166,3.236,3.064,3.16,3.130983,33687220.0
2014-09-25,3.1,3.32,3.1,3.228,3.198358,27300245.0
2014-09-26,3.182,3.3,3.182,3.264,3.234027,18227155.0
2014-09-29,3.264,3.356,3.2,3.256,3.226101,24229240.0
2014-09-30,3.22,3.26,3.12,3.182,3.15278,19697305.0
2014-10-08,3.182,3.254,3.146,3.23,3.20034,14033505.0
2014-10-09,3.204,3.258,3.164,3.21,3.180523,11344920.0
2014-10-10,3.202,3.216,3.14,3.178,3.148817,8902360.0
2014-10-13,3.174,3.496,3.158,3.496,3.463897,29595675.0
2014-10-14,3.6,3.62,3.48,3.54,3.507493,26307580.0
2014-10-15,3.54,3.81,3.43,3.81,3.775014,30586060.0
2014-10-16,3.744,3.854,3.668,3.72,3.68584,29270515.0
2014-10-17,3.65,3.798,3.6,3.678,3.644226,22979420.0
2014-10-20,3.678,3.7,3.51,3.666,3.632336,21617705.0
2014-10-21,3.62,3.87,3.604,3.768,3.733399,25802975.0
